spawntime,enemyid,spawnposid,movesequenceid,barragesequenceid,spawnfilp
690,1,80,10,77,0
690,1,80,10,77,1
720,1,40,0,77,0
725,1,30,0,77,0
730,1,20,0,77,0
735,1,10,0,77,0
740,1,0,0,77,0
745,1,10,0,77,1
750,1,20,0,77,1
755,1,30,0,77,1
760,1,40,0,77,1
790,0,85,13,95,0
795,0,85,13,95,0
800,0,85,13,95,0
805,0,85,13,95,0
810,0,85,13,95,0
815,0,85,13,95,0
820,0,85,13,95,0
825,0,85,13,95,0
830,0,85,13,95,0
870,0,90,16,105,1
875,0,90,16,105,1
880,0,90,16,105,1
885,0,90,16,105,1
890,0,90,16,105,1
895,0,90,16,105,1
900,0,90,16,105,1
905,0,90,16,105,1
910,0,90,16,105,1
950,0,85,13,95,1
955,0,85,13,95,1
960,0,85,13,95,1
965,0,85,13,95,1
970,0,85,13,95,1
975,0,85,13,95,1
980,0,85,13,95,1
985,0,85,13,95,1
990,0,85,13,95,1
1030,0,90,16,105,0
1035,0,90,16,105,0
1040,0,90,16,105,0
1045,0,90,16,105,0
1050,0,90,16,105,0
1055,0,90,16,105,0
1060,0,90,16,105,0
1065,0,90,16,105,0
1070,0,90,16,105,0
1100,2,0,2,131,0
1100,0,95,16,133,0
1100,0,95,16,133,1
1110,0,95,16,133,0
1110,0,95,16,133,1
1120,0,95,16,133,0
1120,0,95,16,133,1
1130,0,95,16,133,0
1130,0,95,16,133,1
1140,0,95,16,133,0
1140,0,95,16,133,1
1200,1,40,2,143,0
1200,1,40,2,143,1
1205,1,30,2,142,0
1205,1,30,2,142,1
1210,1,20,2,196,0
1210,1,20,2,196,1
1215,1,10,2,196,0
1215,1,10,2,196,1
1260,4,0,2,219,0
1400,1,50,17,179,0
1405,1,45,17,177,0
1410,1,40,17,179,0
1415,1,35,17,177,0
1420,1,30,17,179,0
1425,1,25,17,177,0
1430,1,20,17,179,0
1435,1,15,17,177,0
1440,1,10,17,179,0
1445,1,5,17,177,0
1450,1,0,17,179,0
1455,1,5,17,177,1
1460,1,10,17,179,1
1465,1,15,17,177,1
1470,1,20,17,179,1
1475,1,25,17,177,1
1480,1,30,17,179,1
1485,1,35,17,177,1
1490,1,40,17,179,1
1495,1,45,17,177,1
1500,1,50,17,179,1
1520,1,75,19,3,0
1525,1,75,19,82,0
1530,1,75,19,149,0
1535,1,75,19,3,0
1540,1,75,19,82,0
1545,1,75,19,149,0
1550,1,75,19,3,0
1570,1,75,19,8,1
1575,1,75,19,82,1
1580,1,75,19,149,1
1585,1,75,19,3,1
1590,1,75,19,82,1
1595,1,75,19,149,1
1600,1,75,19,3,1
1620,1,30,20,215,0
1620,1,15,20,142,0
1620,1,0,20,70,0
1620,1,15,20,142,1
1620,1,30,20,215,1
1650,2,30,2,181,0
1650,1,15,2,181,0
1650,2,0,2,183,0
1650,1,15,2,181,1
1650,2,30,2,181,1
1680,7,0,21,209,0
1700,1,85,16,37,0
1705,1,85,16,37,1
1710,1,85,16,37,0
1715,1,85,16,37,1
1720,1,85,16,37,0
1725,1,85,16,37,1
1730,1,85,16,37,0
1735,1,85,16,37,1
1740,1,85,16,37,0
1745,1,85,16,37,1
1750,1,85,16,37,0
1755,1,85,16,37,1
1760,1,85,16,37,0
1765,1,85,16,37,1
1800,8,0,23,222,0
2210,1,0,0,24,0
2210,1,20,0,24,0
2210,1,20,0,24,1
2215,2,40,0,24,1
2215,2,40,0,24,0
2250,2,0,0,9,0
2270,2,0,0,24,0
2275,2,10,0,24,0
2275,2,10,0,24,1
2280,2,20,0,24,0
2280,2,20,0,24,1
2285,2,30,0,24,0
2285,2,30,0,24,1
2300,1,45,6,25,0
2300,1,45,6,25,1
2305,1,45,6,24,0
2305,1,45,6,24,1
2310,1,45,6,24,0
2310,1,45,6,24,1
2315,1,45,6,24,0
2315,1,45,6,24,1
2320,1,45,6,24,0
2320,1,45,6,24,1
2325,1,45,6,24,0
2325,1,45,6,24,1
2355,2,85,13,24,0
2360,1,85,13,24,0
2365,1,85,13,24,0
2370,1,85,13,24,0
2375,1,85,13,24,0
2380,1,85,13,24,0
2385,1,85,13,24,0
2390,1,85,13,24,0
2395,2,85,13,24,0
2425,2,90,16,37,1
2430,1,90,16,37,1
2435,1,90,16,37,1
2440,1,90,16,38,1
2445,1,90,16,38,1
2450,1,90,16,38,1
2455,1,90,16,37,1
2460,1,90,16,37,1
2465,2,90,16,37,1
2495,2,85,13,24,1
2500,1,85,13,24,1
2505,1,85,13,24,1
2510,1,85,13,24,1
2515,1,85,13,24,1
2520,1,85,13,24,1
2525,1,85,13,24,1
2530,1,85,13,24,1
2535,2,85,13,24,1
2565,2,90,16,37,0
2570,1,90,16,37,0
2575,1,90,16,37,0
2580,1,90,16,38,0
2585,1,90,16,38,0
2590,1,90,16,38,0
2595,1,90,16,37,0
2600,1,90,16,37,0
2605,2,90,16,37,0
2635,1,50,17,182,0
2640,1,45,17,182,0
2645,1,40,17,182,0
2650,1,35,17,182,0
2655,1,30,17,182,0
2660,1,25,17,182,0
2665,1,20,17,182,0
2670,1,15,17,182,0
2675,1,10,17,182,0
2680,1,5,17,182,0
2685,1,0,17,182,0
2690,1,5,17,182,1
2695,1,10,17,182,1
2700,1,15,17,182,1
2705,1,20,17,182,1
2710,1,25,17,182,1
2715,1,30,17,182,1
2720,1,35,17,182,1
2725,1,40,17,182,1
2730,1,45,17,182,1
2735,1,50,17,182,1
2760,2,75,3,30,0
2765,2,75,3,30,0
2770,2,75,3,30,0
2775,2,75,3,30,0
2780,2,75,3,30,0
2800,2,75,3,30,1
2805,2,75,3,30,1
2810,2,75,3,30,1
2815,2,75,3,30,1
2820,2,75,3,30,1
2840,1,40,2,143,0
2840,1,40,2,143,1
2845,1,30,2,143,0
2845,1,30,2,143,1
2850,1,20,2,197,0
2850,1,20,2,197,1
2855,1,10,2,197,0
2855,1,10,2,197,1
2890,3,30,2,24,0
2890,2,15,2,143,0
2890,2,0,2,143,0
2890,2,15,2,143,1
2890,3,30,2,24,1
2930,3,0,2,85,0
2930,2,83,8,9,0
2930,1,83,9,9,0
2930,2,90,8,9,0
2930,1,90,9,9,0
2930,2,83,8,9,1
2930,1,83,9,9,1
2930,2,90,8,9,1
2930,1,90,9,9,1
3030,5,0,2,220,0
3170,3,75,3,24,0
3170,3,75,3,24,1
3175,2,75,3,97,0
3175,2,75,3,97,1
3180,2,75,3,170,0
3180,2,75,3,170,1
3185,2,75,3,24,0
3185,2,75,3,24,1
3190,3,75,3,97,0
3190,3,75,3,97,1
3220,3,75,3,170,0
3220,3,75,3,170,1
3205,2,75,3,24,0
3205,2,75,3,24,1
3210,2,75,3,97,0
3210,2,75,3,97,1
3215,2,75,3,170,0
3215,2,75,3,170,1
3220,2,75,3,24,0
3220,2,75,3,24,1
3225,2,75,3,97,0
3225,2,75,3,97,1
3230,3,75,3,170,0
3230,3,75,3,170,1
3240,1,75,19,7,0
3240,1,75,19,7,1
3250,1,75,19,85,0
3250,1,75,19,85,1
3260,1,75,19,153,0
3260,1,75,19,153,1
3270,1,75,19,7,0
3270,1,75,19,7,1
3280,1,75,19,85,0
3280,1,75,19,85,1
3290,1,75,19,153,0
3290,1,75,19,153,1
3300,1,75,19,7,0
3300,1,75,19,7,1
3340,3,0,2,125,0
3340,2,83,8,155,0
3340,1,83,9,24,0
3340,1,83,10,24,0
3340,2,90,8,155,0
3340,1,90,9,96,0
3340,1,90,10,96,0
3340,2,83,8,155,1
3340,1,83,9,24,1
3340,1,83,10,24,1
3340,2,90,8,155,1
3340,1,90,9,96,1
3340,1,90,10,96,1
3390,3,0,2,71,0
3390,3,20,2,216,0
3390,3,20,2,216,1
3390,3,40,2,143,0
3390,3,40,2,43,1
3450,3,50,17,13,0
3460,2,45,31,88,0
3420,3,40,31,161,0
3430,2,35,31,13,0
3440,3,30,17,88,0
3450,2,25,31,156,0
3460,3,20,31,13,0
3470,2,15,31,88,0
3480,3,10,17,156,0
3490,2,5,31,13,0
3500,3,0,31,86,0
3510,2,5,31,156,1
3520,3,10,17,13,1
3530,2,15,31,86,1
3540,3,20,31,156,1
3550,2,25,31,13,1
3560,3,30,17,86,1
3570,2,35,31,156,1
3580,3,40,31,13,1
3590,2,45,31,86,1
3600,3,50,17,156,1
3650,9,0,28,228,0
4050,12,110,27,230,1
4050,15,35,27,230,0
4050,15,35,27,230,1
4100,15,35,27,230,0
4100,15,35,27,230,1
4100,4,0,2,219,0
4150,12,95,27,230,1
4150,11,110,27,230,0
4250,5,0,2,220,0
4300,12,105,27,230,1
4300,11,115,27,230,0
4350,6,0,2,221,0
4450,7,85,25,231,0
4600,9,0,26,228,0
4675,12,110,27,230,1
4675,15,35,27,230,0
4675,15,35,27,230,1
4775,15,10,27,230,0
4775,15,10,27,230,1
4850,13,110,27,230,0
4850,13,95,27,230,0
4850,14,85,27,230,1
4850,14,85,27,230,1
4900,10,0,2,223,0
4950,13,85,27,230,0
4950,14,105,27,230,1
4960,15,25,27,230,0
4960,15,25,27,230,1
4990,11,75,27,230,0
4990,11,85,27,230,0
4990,11,95,27,230,0
4990,11,105,27,230,0
5015,12,75,27,230,1
5015,12,85,27,230,1
5015,12,95,27,230,1
5015,12,105,27,230,1
5095,13,100,27,230,0
5095,14,100,27,230,1
5145,11,110,27,230,0
5145,15,35,27,230,1
5175,12,110,27,230,1
5175,15,35,27,230,0
5225,11,75,27,230,0
5250,12,80,27,230,1
5275,11,85,27,230,0
5300,12,90,27,230,1
5325,11,95,27,230,0
5350,12,100,27,230,1
5375,11,105,27,230,0
5400,12,110,27,230,1
5500,15,45,27,230,0
5500,15,45,27,230,1
5530,15,35,27,230,0
5530,15,35,27,230,1
5560,15,25,27,230,0
5560,15,25,27,230,1
5590,15,15,27,230,0
5590,15,15,27,230,1
5620,15,5,27,230,0
5620,15,5,27,230,1
5670,13,75,27,230,0
5680,14,80,27,230,1
5690,13,85,27,230,0
5700,14,90,27,230,1
5710,13,95,27,230,0
5720,14,100,27,230,1
5730,13,105,27,230,0
5740,14,110,27,230,1
5800,11,70,27,230,0
5800,12,110,27,230,1
5800,15,40,27,230,0
5800,15,40,27,230,1
5900,13,85,27,230,0
5900,14,90,27,230,1
5900,13,105,27,230,0
5900,14,110,27,230,1
5940,11,80,27,230,0
5940,12,105,27,230,1
5940,13,90,27,230,0
5940,14,110,27,230,1
5940,15,25,27,230,0
5940,15,25,27,230,1
5985,15,45,27,230,0
5985,15,45,27,230,1
5985,15,35,27,230,0
5985,15,35,27,230,1
5985,15,25,27,230,0
5985,15,25,27,230,1
5985,15,15,27,230,0
5985,15,15,27,230,1
5985,15,5,27,230,0
5985,15,5,27,230,1
5985,15,0,27,230,0
